student_id,dept_name,activity_year,grade,matched_keyword,news_origin_year,time_lag,section,context
202511468,컴퓨터과학과,2022,1,코로나,2019,3,창의적체험활동,어 I : 평소 식품영양 분아에 관심이 있어 영자신문을 보단 중 김치와 코로나 19의 상관관계름 다른 기사름 흥미롭기 읽음. 기사에서논 김치가 코로나
202511468,컴퓨터과학과,2022,1,코로나,2019,3,창의적체험활동,어 I : 평소 식품영양 분아에 관심이 있어 영자신문을 보단 중 김치와 코로나 19의 상관관계름 다른 기사름 흥미롭기 읽음. 기사에서논 김치가 코로나
202511468,컴퓨터과학과,2022,1,코로나,2019,3,창의적체험활동,어 I : 평소 식품영양 분아에 관심이 있어 영자신문을 보단 중 김치와 코로나 19의 상관관계름 다른 기사름 흥미롭기 읽음. 기사에서논 김치가 코로나
202511468,컴퓨터과학과,2022,1,플라스틱,2021,1,창의적체험활동,체 험 활 동상 왕 학년 영역 시간 특기사항 교내 학술제에서 '생분해성 플라스틱 분해름 혹진하는 환경요인 담구 및 환용 방안 연구' 발 표릎 듣고 비핑
202511468,컴퓨터과학과,2022,1,부동산,2023,-1,창의적체험활동,공공재임올 설명합 . 지역 주민이 반대하는 이유는 쓰레기 매립지로 인한 부동산 가격이 자산 규모에 영향울 주는 이유도 있지만 부정적 외부효과의 발생도
202511468,컴퓨터과학과,2022,1,부동산,2023,-1,창의적체험활동,공공재임올 설명합 . 지역 주민이 반대하는 이유는 쓰레기 매립지로 인한 부동산 가격이 자산 규모에 영향울 주는 이유도 있지만 부정적 외부효과의 발생도
202511468,컴퓨터과학과,2022,1,플라스틱,2021,1,창의적체험활동,체 험 활 동상 왕 학년 영역 시간 특기사항 교내 학술제에서 '생분해성 플라스틱 분해름 혹진하는 환경요인 담구 및 환용 방안 연구' 발 표릎 듣고 비핑
202511550,컴퓨터과학과,2022,1,반도체,2021,1,창의적체험활동,"도 기전력이 회로에 유도되는 현상에서 기전력의 크기름 구하여 설명함 . 반도체률 활용한 침단 산업 분아에 대해 조사하여 발표하는 수행평가에서 , 사불"
202511550,컴퓨터과학과,2022,1,반도체,2021,1,창의적체험활동,"도 기전력이 회로에 유도되는 현상에서 기전력의 크기름 구하여 설명함 . 반도체률 활용한 침단 산업 분아에 대해 조사하여 발표하는 수행평가에서 , 사불"
202511550,컴퓨터과학과,2022,1,사기,2023,-1,창의적체험활동, 동아리 부스 장식과 전시장 기획 등 후배들올 자원해서 도우며 후배들의 사기블 북돈음. 후배늘과 적극적인 소봉올 통해서 축제 관련 아이디어블 적극 
202511550,컴퓨터과학과,2022,1,규제,2024,-2,창의적체험활동,개발해야 한다는 찬성 입장과 지속적으로 인공지능울 개발하면서 이에 맞는 규제책울 찾아야 한다는 반대 입장올 균형적으로 제시하다 객관직인 태도틀 유지
202511550,컴퓨터과학과,2022,1,반도체,2021,1,창의적체험활동,"도 기전력이 회로에 유도되는 현상에서 기전력의 크기름 구하여 설명함 . 반도체률 활용한 침단 산업 분아에 대해 조사하여 발표하는 수행평가에서 , 사불"
202511550,컴퓨터과학과,2022,1,AI,2025,-3,창의적체험활동,평소 관심 있년 인공지능이 가질 수 없는 것에 대해 다루고 있는 책인 'AI들의 걱론 (지나) '풀 잎 고 일주일간 독서일지블 성실하게 작성함 . 
202511554,컴퓨터과학과,2022,1,드론,2024,-2,창의적체험활동,"용성올 창의적 아이디어 제공   문제 해결 , 화재 및 사고 현장에서의 드론 활용  군사훈련 및 게 임에서의 가상현 실과 증강현 실 등 다양한 예시"
202511554,컴퓨터과학과,2022,1,분쟁,2024,-2,창의적체험활동,함께 논의하다 폭넓은 시각올 보여춤. 학교 축제에서 러시아와 우크라이나 분쟁올 조사하고 그 과정올 세밀하게 담구하면서 전쟁 상황 에 대해 고찰하고 
202511554,컴퓨터과학과,2022,1,AI,2025,-3,창의적체험활동,표 파트 분배자 토론의 사회자 등의 역할울 하여 조원들올 잘 이끌어님 'AI와 의학 '이라는 주제로 발표루 준비하없으다 '인공지능 로봇 윗스이 인간
202511585,자율전공,2022,1,미세먼지,2017,5,창의적체험활동,"울 봉해 민주시민으로 성장할 수 있는 소양을 키움. 신문스크램 활동으로 미세먼지 문제 , 서울 주택 노후화 문제 , 군 훈련소 인권침 해 . 한국-호주"
202511585,자율전공,2022,1,반도체,2021,1,창의적체험활동,"학율 쉽게 소개하고 있는 책울 선택함으로씨 공학에 대한 이해률 도모함. 반도체 연구  산업 공학 , 시스템 공학의 역할울 인상 깊은 내용으로 꼼고 고"
202511585,자율전공,2022,1,교권침해,2023,-1,창의적체험활동,"물올 따로 보관하는 일올 책임 핑게 수행합 . 학생도박 , 가정쪽력 , 교권침해 예방교육 (2022.08. 26. )올 통해 폭력과 침해의 유형이 광범"
202511585,자율전공,2022,1,반도체,2021,1,창의적체험활동,"학율 쉽게 소개하고 있는 책울 선택함으로씨 공학에 대한 이해률 도모함. 반도체 연구  산업 공학 , 시스템 공학의 역할울 인상 깊은 내용으로 꼼고 고"
202511585,자율전공,2022,1,부동산,2023,-1,창의적체험활동,한 지문에는 표면적으로 등장하지 암은 기준 금리의 인상이 주식 채권   부동산 가격' 에 미치는 파급력과 '외환에 대한 자국 화페의 가치 (환율) '
202511585,자율전공,2022,1,사기,2023,-1,창의적체험활동, 가장 두각올 보인 학생으로 친화력이 종고 유연한 태도름 통해 팀원들의 사기름 돌아주는 등 우 수한 리더십올 보임. 수업의 차장에 지원 및 선발되어
202511585,자율전공,2022,1,반도체,2021,1,창의적체험활동,"학율 쉽게 소개하고 있는 책울 선택함으로씨 공학에 대한 이해률 도모함. 반도체 연구  산업 공학 , 시스템 공학의 역할울 인상 깊은 내용으로 꼼고 고"
202511585,자율전공,2022,1,부동산,2023,-1,창의적체험활동,한 지문에는 표면적으로 등장하지 암은 기준 금리의 인상이 주식 채권   부동산 가격' 에 미치는 파급력과 '외환에 대한 자국 화페의 가치 (환율) '
