Date,Keyword,Category,Department,Count
23-Dec,구호,사회/경제,사회복지학과,2
24-Jan,구호,사회/경제,사회복지학과,163
24-Feb,구호,사회/경제,사회복지학과,145
24-Mar,구호,사회/경제,사회복지학과,194
24-Apr,구호,사회/경제,사회복지학과,297
24-May,구호,사회/경제,사회복지학과,328
24-Jun,구호,사회/경제,사회복지학과,93
24-Jul,구호,사회/경제,사회복지학과,61
24-Aug,구호,사회/경제,사회복지학과,83
24-Sep,구호,사회/경제,사회복지학과,55
24-Oct,구호,사회/경제,사회복지학과,137
24-Nov,구호,사회/경제,사회복지학과,58
24-Dec,구호,사회/경제,사회복지학과,46
24-Jan,구호,사회/경제,사회복지학과,49
24-Feb,구호,사회/경제,사회복지학과,36
24-Mar,구호,사회/경제,사회복지학과,54
24-Apr,구호,사회/경제,사회복지학과,26
24-May,구호,사회/경제,사회복지학과,60
24-Jun,구호,사회/경제,사회복지학과,31
24-Jul,구호,사회/경제,사회복지학과,44
24-Aug,구호,사회/경제,사회복지학과,49
24-Sep,구호,사회/경제,사회복지학과,34
24-Oct,구호,사회/경제,사회복지학과,28
24-Nov,구호,사회/경제,사회복지학과,66
24-Jan,규제,정치/정책,정책학과,169
24-Feb,규제,정치/정책,정책학과,193
24-Mar,규제,정치/정책,정책학과,243
24-Apr,규제,정치/정책,정책학과,141
24-May,규제,정치/정책,정책학과,181
24-Jun,규제,정치/정책,정책학과,193
24-Jul,규제,정치/정책,정책학과,204
24-Aug,규제,정치/정책,정책학과,210
24-Sep,규제,정치/정책,정책학과,196
24-Oct,규제,정치/정책,정책학과,200
24-Nov,규제,정치/정책,정책학과,264
24-Dec,규제,정치/정책,정책학과,283
24-Jan,드론,IT/기술,무인항공학과,404
24-Feb,드론,IT/기술,무인항공학과,81
24-Mar,드론,IT/기술,무인항공학과,35
24-Apr,드론,IT/기술,무인항공학과,851
24-May,드론,IT/기술,무인항공학과,59
24-Jun,드론,IT/기술,무인항공학과,106
24-Jul,드론,IT/기술,무인항공학과,119
24-Aug,드론,IT/기술,무인항공학과,392
24-Sep,드론,IT/기술,무인항공학과,289
24-Oct,드론,IT/기술,무인항공학과,491
24-Nov,드론,IT/기술,무인항공학과,83
24-Dec,드론,IT/기술,무인항공학과,29
23-Dec,드론,IT/기술,무인항공학과,24
24-Jan,드론,IT/기술,무인항공학과,165
24-Feb,드론,IT/기술,무인항공학과,106
24-Mar,드론,IT/기술,무인항공학과,145
24-Apr,드론,IT/기술,무인항공학과,95
24-May,드론,IT/기술,무인항공학과,107
24-Jun,드론,IT/기술,무인항공학과,60
24-Jul,드론,IT/기술,무인항공학과,36
24-Aug,드론,IT/기술,무인항공학과,302
24-Sep,드론,IT/기술,무인항공학과,255
24-Oct,드론,IT/기술,무인항공학과,180
24-Nov,드론,IT/기술,무인항공학과,324
24-Dec,드론,IT/기술,무인항공학과,280
24-Jan,반도체,경제/산업,반도체공학과,148
24-Feb,반도체,경제/산업,반도체공학과,133
24-Mar,반도체,경제/산업,반도체공학과,145
24-Apr,반도체,경제/산업,반도체공학과,125
24-May,반도체,경제/산업,반도체공학과,119
24-Jun,반도체,경제/산업,반도체공학과,155
24-Jul,반도체,경제/산업,반도체공학과,138
24-Aug,반도체,경제/산업,반도체공학과,152
24-Sep,반도체,경제/산업,반도체공학과,130
24-Oct,반도체,경제/산업,반도체공학과,158
24-Nov,반도체,경제/산업,반도체공학과,148
24-Dec,반도체,경제/산업,반도체공학과,211
24-Jan,부동산,경제/부동산,부동산학과,617
24-Jan,분쟁,국제/외교,정치외교학과,216
24-Feb,분쟁,국제/외교,정치외교학과,48
24-Mar,분쟁,국제/외교,정치외교학과,52
24-Apr,분쟁,국제/외교,정치외교학과,287
24-May,분쟁,국제/외교,정치외교학과,78
24-Jun,분쟁,국제/외교,정치외교학과,70
24-Jul,분쟁,국제/외교,정치외교학과,47
24-Aug,분쟁,국제/외교,정치외교학과,121
24-Sep,분쟁,국제/외교,정치외교학과,229
24-Oct,분쟁,국제/외교,정치외교학과,267
24-Nov,분쟁,국제/외교,정치외교학과,57
24-Dec,분쟁,국제/외교,정치외교학과,42
24-Jan,분쟁,국제/외교,정치외교학과,95
24-Feb,분쟁,국제/외교,정치외교학과,70
24-Mar,분쟁,국제/외교,정치외교학과,68
24-Apr,분쟁,국제/외교,정치외교학과,56
24-May,분쟁,국제/외교,정치외교학과,83
24-Jun,분쟁,국제/외교,정치외교학과,69
24-Jul,분쟁,국제/외교,정치외교학과,48
24-Aug,분쟁,국제/외교,정치외교학과,60
24-Sep,분쟁,국제/외교,정치외교학과,70
24-Oct,분쟁,국제/외교,정치외교학과,99
24-Nov,분쟁,국제/외교,정치외교학과,122
24-Dec,분쟁,국제/외교,정치외교학과,63
24-Jan,오픈AI,경제/기업,기술경영학과,76
24-Feb,오픈AI,경제/기업,기술경영학과,89
24-Mar,오픈AI,경제/기업,기술경영학과,113
24-Apr,오픈AI,경제/기업,기술경영학과,56
24-May,오픈AI,경제/기업,기술경영학과,97
24-Jun,오픈AI,경제/기업,기술경영학과,85
24-Jul,오픈AI,경제/기업,기술경영학과,83
24-Aug,오픈AI,경제/기업,기술경영학과,63
24-Sep,오픈AI,경제/기업,기술경영학과,77
24-Oct,오픈AI,경제/기업,기술경영학과,48
24-Nov,오픈AI,경제/기업,기술경영학과,51
24-Dec,오픈AI,경제/기업,기술경영학과,92
24-Jan,윤석열,정치/비리의혹,법학과,83
24-Feb,윤석열,정치/비리의혹,법학과,29
24-Mar,윤석열,정치/비리의혹,법학과,55
24-Apr,윤석열,정치/비리의혹,법학과,90
24-May,윤석열,정치/비리의혹,법학과,228
24-Jun,윤석열,정치/비리의혹,법학과,160
24-Jul,윤석열,정치/비리의혹,법학과,546
24-Aug,윤석열,정치/비리의혹,법학과,284
24-Sep,윤석열,정치/비리의혹,법학과,257
24-Oct,윤석열,정치/비리의혹,법학과,365
24-Nov,윤석열,정치/비리의혹,법학과,606
24-Dec,윤석열,정치/비리의혹,법학과,4141
24-Jan,증원,사회/의료,의예과,70
24-Feb,증원,사회/의료,의예과,1022
24-Mar,증원,사회/의료,의예과,1028
24-Apr,증원,사회/의료,의예과,764
24-May,증원,사회/의료,의예과,570
24-Jun,증원,사회/의료,의예과,400
24-Jul,증원,사회/의료,의예과,177
24-Aug,증원,사회/의료,의예과,318
24-Sep,증원,사회/의료,의예과,528
24-Oct,증원,사회/의료,의예과,205
24-Nov,증원,사회/의료,의예과,120
24-Dec,증원,사회/의료,의예과,202
24-Jan,챗GPT,IT/서비스,컴퓨터공학과,75
24-Feb,챗GPT,IT/서비스,컴퓨터공학과,67
24-Mar,챗GPT,IT/서비스,컴퓨터공학과,78
24-Apr,챗GPT,IT/서비스,컴퓨터공학과,44
24-May,챗GPT,IT/서비스,컴퓨터공학과,89
24-Jun,챗GPT,IT/서비스,컴퓨터공학과,62
24-Jul,챗GPT,IT/서비스,컴퓨터공학과,57
24-Aug,챗GPT,IT/서비스,컴퓨터공학과,54
24-Sep,챗GPT,IT/서비스,컴퓨터공학과,53
24-Oct,챗GPT,IT/서비스,컴퓨터공학과,28
24-Nov,챗GPT,IT/서비스,컴퓨터공학과,45
24-Dec,챗GPT,IT/서비스,컴퓨터공학과,69
24-Jan,학부모,사회/교욱행,교육법학과,116
24-Feb,학부모,사회/교욱행,교육법학과,119
24-Jan,한강,인문/국문,국어국문학과,129
24-Feb,한강,인문/국문,국어국문학과,115
24-Mar,한강,인문/국문,국어국문학과,107
24-Apr,한강,인문/국문,국어국문학과,109
24-May,한강,인문/국문,국어국문학과,125
24-Jun,한강,인문/국문,국어국문학과,170
24-Jul,한강,인문/국문,국어국문학과,298
24-Aug,한강,인문/국문,국어국문학과,223
24-Sep,한강,인문/국문,국어국문학과,144
24-Oct,한강,인문/국문,국어국문학과,464
24-Nov,한강,인문/국문,국어국문학과,236
24-Dec,한강,인문/국문,국어국문학과,404
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
