Date,Keyword,Category,Department,Count
2020-01,5G,IT/과학,컴퓨터공학과,532
2020-01,n번방,사회/안전,법학과,23
2020-01,데이터 3법,IT/과학,컴퓨터공학과,218
2020-01,줌,IT/과학,컴퓨터공학과,14
2020-01,코로나,의료/보건,간호학과,32
2020-01,클라우드,IT/과학,컴퓨터공학과,977
2020-02,5G,IT/과학,컴퓨터공학과,320
2020-02,n번방,사회/안전,법학과,38
2020-02,데이터 3법,IT/과학,컴퓨터공학과,21
2020-02,줌,IT/과학,컴퓨터공학과,35
2020-02,코로나,의료/보건,간호학과,274
2020-02,클라우드,IT/과학,컴퓨터공학과,825
2020-03,5G,IT/과학,컴퓨터공학과,273
2020-03,n번방,사회/안전,법학과,3496
2020-03,데이터 3법,IT/과학,컴퓨터공학과,13
2020-03,줌,IT/과학,컴퓨터공학과,43
2020-03,코로나,의료/보건,간호학과,1459
2020-03,클라우드,IT/과학,컴퓨터공학과,1050
2020-04,5G,IT/과학,컴퓨터공학과,299
2020-04,n번방,사회/안전,법학과,2670
2020-04,데이터 3법,IT/과학,컴퓨터공학과,9
2020-04,줌,IT/과학,컴퓨터공학과,150
2020-04,코로나,의료/보건,간호학과,2160
2020-04,클라우드,IT/과학,컴퓨터공학과,1007
2020-05,5G,IT/과학,컴퓨터공학과,357
2020-05,n번방,사회/안전,법학과,1752
2020-05,데이터 3법,IT/과학,컴퓨터공학과,13
2020-05,줌,IT/과학,컴퓨터공학과,52
2020-05,코로나,의료/보건,간호학과,1882
2020-05,클라우드,IT/과학,컴퓨터공학과,1176
2020-06,5G,IT/과학,컴퓨터공학과,231
2020-06,n번방,사회/안전,법학과,551
2020-06,데이터 3법,IT/과학,컴퓨터공학과,6
2020-06,줌,IT/과학,컴퓨터공학과,50
2020-06,코로나,의료/보건,간호학과,1428
2020-06,클라우드,IT/과학,컴퓨터공학과,1302
2020-07,5G,IT/과학,컴퓨터공학과,380
2020-07,n번방,사회/안전,법학과,509
2020-07,데이터 3법,IT/과학,컴퓨터공학과,11
2020-07,줌,IT/과학,컴퓨터공학과,38
2020-07,코로나,의료/보건,간호학과,1539
2020-07,클라우드,IT/과학,컴퓨터공학과,1544
2020-08,5G,IT/과학,컴퓨터공학과,243
2020-08,n번방,사회/안전,법학과,124
2020-08,데이터 3법,IT/과학,컴퓨터공학과,13
2020-08,줌,IT/과학,컴퓨터공학과,56
2020-08,코로나,의료/보건,간호학과,1302
2020-08,클라우드,IT/과학,컴퓨터공학과,964
2020-09,5G,IT/과학,컴퓨터공학과,263
2020-09,n번방,사회/안전,법학과,213
2020-09,데이터 3법,IT/과학,컴퓨터공학과,1
2020-09,줌,IT/과학,컴퓨터공학과,77
2020-09,코로나,의료/보건,간호학과,2113
2020-09,클라우드,IT/과학,컴퓨터공학과,1407
2020-10,5G,IT/과학,컴퓨터공학과,189
2020-10,n번방,사회/안전,법학과,313
2020-10,데이터 3법,IT/과학,컴퓨터공학과,5
2020-10,줌,IT/과학,컴퓨터공학과,59
2020-10,코로나,의료/보건,간호학과,1857
2020-10,클라우드,IT/과학,컴퓨터공학과,1059
2020-11,5G,IT/과학,컴퓨터공학과,263
2020-11,n번방,사회/안전,법학과,251
2020-11,데이터 3법,IT/과학,컴퓨터공학과,4
2020-11,줌,IT/과학,컴퓨터공학과,58
2020-11,코로나,의료/보건,간호학과,1752
2020-11,클라우드,IT/과학,컴퓨터공학과,1218
2020-12,5G,IT/과학,컴퓨터공학과,202
2020-12,n번방,사회/안전,법학과,268
2020-12,데이터 3법,IT/과학,컴퓨터공학과,6
2020-12,줌,IT/과학,컴퓨터공학과,70
2020-12,코로나,의료/보건,간호학과,2053
2020-12,클라우드,IT/과학,컴퓨터공학과,1221
