Date,Keyword,Category,Department,Count,tag
18-Sep,남북회담,정치/외교,정치외교학과,70,
18-Oct,남북회담,정치/외교,정치외교학과,71,
18-Nov,남북회담,정치/외교,정치외교학과,19,
18-Dec,남북회담,정치/외교,정치외교학과,21,
18-Jan,쓰레기 대란,사회/환경,환경공학과,1,재활용
18-Mar,쓰레기 대란,사회/환경,환경공학과,1,재활용
18-Apr,쓰레기 대란,사회/환경,환경공학과,208,재활용
18-May,쓰레기 대란,사회/환경,환경공학과,16,재활용
18-Jun,쓰레기 대란,사회/환경,환경공학과,9,재활용
18-Jul,쓰레기 대란,사회/환경,환경공학과,7,재활용
18-Aug,쓰레기 대란,사회/환경,환경공학과,2,재활용
18-Sep,쓰레기 대란,사회/환경,환경공학과,4,재활용
18-Oct,쓰레기 대란,사회/환경,환경공학과,1,재활용
18-Nov,쓰레기 대란,사회/환경,환경공학과,3,재활용
18-Dec,쓰레기 대란,사회/환경,환경공학과,3,재활용
18-Jun,예멘 난민,사회/인권,사회학과,250,난민
18-Jul,예멘 난민,사회/인권,사회학과,152,난민
18-Aug,예멘 난민,사회/인권,사회학과,18,난민
18-Sep,예멘 난민,사회/인권,사회학과,29,난민
18-Oct,예멘 난민,사회/인권,사회학과,75,난민
18-Nov,예멘 난민,사회/인권,사회학과,9,난민
18-Dec,예멘 난민,사회/인권,사회학과,43,난민
18-Feb,BMW 화재,사회/안전,기계공학과,1,
18-Apr,BMW 화재,사회/안전,기계공학과,1,
18-May,BMW 화재,사회/안전,기계공학과,1,
18-Jul,BMW 화재,사회/안전,기계공학과,22,
18-Aug,BMW 화재,사회/안전,기계공학과,398,
18-Sep,BMW 화재,사회/안전,기계공학과,39,
18-Oct,BMW 화재,사회/안전,기계공학과,18,
18-Nov,BMW 화재,사회/안전,기계공학과,39,
18-Dec,BMW 화재,사회/안전,기계공학과,142,
18-Jan,평창 올림픽,문화/스포츠,스포츠과학과,71,올림픽
18-Feb,평창 올림픽,문화/스포츠,스포츠과학과,147,올림픽
18-Mar,평창 올림픽,문화/스포츠,스포츠과학과,16,올림픽
18-Apr,평창 올림픽,문화/스포츠,스포츠과학과,4,올림픽
18-May,평창 올림픽,문화/스포츠,스포츠과학과,3,올림픽
18-Jun,평창 올림픽,문화/스포츠,스포츠과학과,1,올림픽
18-Oct,평창 올림픽,문화/스포츠,스포츠과학과,3,올림픽
18-Nov,평창 올림픽,문화/스포츠,스포츠과학과,1,올림픽
18-Dec,평창 올림픽,문화/스포츠,스포츠과학과,1,올림픽
