Date,Keyword,Category,Department,Count,tag
Jan-21,NFT,IT/경제,컴퓨터공학과,5,블록체인
Feb-21,NFT,IT/경제,컴퓨터공학과,7,블록체인
Mar-21,NFT,IT/경제,컴퓨터공학과,120,블록체인
Apr-21,NFT,IT/경제,컴퓨터공학과,123,블록체인
May-21,NFT,IT/경제,컴퓨터공학과,115,블록체인
Jun-21,NFT,IT/경제,컴퓨터공학과,110,블록체인
Jul-21,NFT,IT/경제,컴퓨터공학과,119,블록체인
Aug-21,NFT,IT/경제,컴퓨터공학과,100,블록체인
Sep-21,NFT,IT/경제,컴퓨터공학과,108,블록체인
Oct-21,NFT,IT/경제,컴퓨터공학과,107,블록체인
Nov-21,NFT,IT/경제,컴퓨터공학과,471,블록체인
Dec-21,NFT,IT/경제,컴퓨터공학과,456,블록체인
Jan-21,반도체,IT/과학,전자공학과,334,반도체
Feb-21,반도체,IT/과학,전자공학과,518,반도체
Mar-21,반도체,IT/과학,전자공학과,591,반도체
Apr-21,반도체,IT/과학,전자공학과,1138,반도체
May-21,반도체,IT/과학,전자공학과,802,반도체
Jun-21,반도체,IT/과학,전자공학과,474,반도체
Jul-21,반도체,IT/과학,전자공학과,508,반도체
Aug-21,반도체,IT/과학,전자공학과,374,반도체
Sep-21,반도체,IT/과학,전자공학과,473,반도체
Oct-21,반도체,IT/과학,전자공학과,935,반도체
Nov-21,반도체,IT/과학,전자공학과,701,반도체
Dec-21,반도체,IT/과학,전자공학과,404,반도체
Jun-21,코로나,의료/보건,간호학과,1217,질병
Jul-21,코로나,의료/보건,간호학과,4464,질병
Aug-21,코로나,의료/보건,간호학과,3570,질병
Sep-21,코로나,의료/보건,간호학과,1303,질병
Oct-21,코로나,의료/보건,간호학과,594,질병
Nov-21,코로나,의료/보건,간호학과,1594,질병
Dec-21,코로나,의료/보건,간호학과,7242,질병
Jan-21,플라스틱,환경/사회,환경공학과,150,재활용
Feb-21,플라스틱,환경/사회,환경공학과,146,재활용
Mar-21,플라스틱,환경/사회,환경공학과,99,재활용
Apr-21,플라스틱,환경/사회,환경공학과,162,재활용
May-21,플라스틱,환경/사회,환경공학과,130,재활용
Jun-21,플라스틱,환경/사회,환경공학과,143,재활용
Jul-21,플라스틱,환경/사회,환경공학과,93,재활용
Aug-21,플라스틱,환경/사회,환경공학과,121,재활용
Sep-21,플라스틱,환경/사회,환경공학과,168,재활용
Oct-21,플라스틱,환경/사회,환경공학과,118,재활용
Nov-21,플라스틱,환경/사회,환경공학과,199,재활용
Dec-21,플라스틱,환경/사회,환경공학과,131,재활용
