Date,Keyword,Category,Department,Count
16-Mar,알파고,IT/과학,컴퓨터공학과,727
16-Apr,알파고,IT/과학,컴퓨터공학과,678
16-May,알파고,IT/과학,컴퓨터공학과,552
16-Jun,알파고,IT/과학,컴퓨터공학과,325
16-Jul,알파고,IT/과학,컴퓨터공학과,236
16-Aug,알파고,IT/과학,컴퓨터공학과,122
16-Sep,알파고,IT/과학,컴퓨터공학과,100
16-Oct,알파고,IT/과학,컴퓨터공학과,109
16-Nov,알파고,IT/과학,컴퓨터공학과,103
16-Dec,알파고,IT/과학,컴퓨터공학과,257
16-Sep,경주 지진,사회/안전,지구환경과학과,1097
16-Oct,경주 지진,사회/안전,지구환경과학과,124
16-Nov,경주 지진,사회/안전,지구환경과학과,31
16-Dec,경주 지진,사회/안전,지구환경과학과,32
16-Jan,가습기 살균제,사회/보건,화학공학과,19
16-Feb,가습기 살균제,사회/보건,화학공학과,31
16-Mar,가습기 살균제,사회/보건,화학공학과,43
16-Apr,가습기 살균제,사회/보건,화학공학과,665
16-May,가습기 살균제,사회/보건,화학공학과,1181
16-Jun,가습기 살균제,사회/보건,화학공학과,461
16-Jul,가습기 살균제,사회/보건,화학공학과,208
16-Aug,가습기 살균제,사회/보건,화학공학과,176
16-Sep,가습기 살균제,사회/보건,화학공학과,304
16-Oct,가습기 살균제,사회/보건,화학공학과,123
16-Nov,가습기 살균제,사회/보건,화학공학과,68
16-Dec,가습기 살균제,사회/보건,화학공학과,43
16-Jul,포켓몬 GO,IT/문화,게임콘텐츠학과,136
16-Aug,포켓몬 GO,IT/문화,게임콘텐츠학과,11
16-Sep,포켓몬 GO,IT/문화,게임콘텐츠학과,4
16-Jan,지카 바이러스,의료/보건,간호학과,281
16-Feb,지카 바이러스,의료/보건,간호학과,748
16-Mar,지카 바이러스,의료/보건,간호학과,187
16-Apr,지카 바이러스,의료/보건,간호학과,131
16-May,지카 바이러스,의료/보건,간호학과,62
16-Jun,지카 바이러스,의료/보건,간호학과,36
16-Jul,지카 바이러스,의료/보건,간호학과,36
16-Aug,지카 바이러스,의료/보건,간호학과,39
16-Sep,지카 바이러스,의료/보건,간호학과,28
16-Oct,지카 바이러스,의료/보건,간호학과,9
16-Nov,지카 바이러스,의료/보건,간호학과,9
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
