Date,Keyword,Category,Department,Count
2019-01,5G,IT/과학,컴퓨터공학과,57
2019-01,블랙홀,과학/우주,물리학과,203
2019-01,줌,IT/과학,컴퓨터공학과,1
2019-01,클라우드,IT/과학,컴퓨터공학과,5
2019-02,5G,IT/과학,컴퓨터공학과,1025
2019-02,블랙홀,과학/우주,물리학과,132
2019-02,줌,IT/과학,컴퓨터공학과,27
2019-02,클라우드,IT/과학,컴퓨터공학과,138
2019-03,5G,IT/과학,컴퓨터공학과,1232
2019-03,블랙홀,과학/우주,물리학과,152
2019-03,줌,IT/과학,컴퓨터공학과,17
2019-03,클라우드,IT/과학,컴퓨터공학과,138
2019-04,5G,IT/과학,컴퓨터공학과,2055
2019-04,블랙홀,과학/우주,물리학과,422
2019-04,줌,IT/과학,컴퓨터공학과,18
2019-04,클라우드,IT/과학,컴퓨터공학과,162
2019-05,5G,IT/과학,컴퓨터공학과,1113
2019-05,블랙홀,과학/우주,물리학과,232
2019-05,줌,IT/과학,컴퓨터공학과,4
2019-05,클라우드,IT/과학,컴퓨터공학과,143
2019-06,5G,IT/과학,컴퓨터공학과,1079
2019-06,블랙홀,과학/우주,물리학과,182
2019-06,줌,IT/과학,컴퓨터공학과,13
2019-06,클라우드,IT/과학,컴퓨터공학과,146
2019-07,5G,IT/과학,컴퓨터공학과,948
2019-07,블랙홀,과학/우주,물리학과,212
2019-07,일본 수출,경제/외교,경제학과,1
2019-07,줌,IT/과학,컴퓨터공학과,4
2019-07,클라우드,IT/과학,컴퓨터공학과,130
2019-08,5G,IT/과학,컴퓨터공학과,675
2019-08,블랙홀,과학/우주,물리학과,215
2019-08,일본 수출,경제/외교,경제학과,6
2019-08,줌,IT/과학,컴퓨터공학과,14
2019-08,클라우드,IT/과학,컴퓨터공학과,82
2019-09,5G,IT/과학,컴퓨터공학과,860
2019-09,블랙홀,과학/우주,물리학과,528
2019-09,줌,IT/과학,컴퓨터공학과,7
2019-09,클라우드,IT/과학,컴퓨터공학과,146
2019-10,5G,IT/과학,컴퓨터공학과,955
2019-10,데이터 3법,IT/과학,컴퓨터공학과,6
2019-10,블랙홀,과학/우주,물리학과,640
2019-10,일본 수출,경제/외교,경제학과,1
2019-10,줌,IT/과학,컴퓨터공학과,4
2019-10,클라우드,IT/과학,컴퓨터공학과,129
2019-11,5G,IT/과학,컴퓨터공학과,740
2019-11,데이터 3법,IT/과학,컴퓨터공학과,2
2019-11,블랙홀,과학/우주,물리학과,207
2019-11,줌,IT/과학,컴퓨터공학과,4
2019-11,클라우드,IT/과학,컴퓨터공학과,169
2019-12,5G,IT/과학,컴퓨터공학과,1293
2019-12,데이터 3법,IT/과학,컴퓨터공학과,2
2019-12,블랙홀,과학/우주,물리학과,330
2019-12,일본 수출,경제/외교,경제학과,71
2019-12,줌,IT/과학,컴퓨터공학과,38
2019-12,코로나,의료/보건,간호학과,6
2019-12,클라우드,IT/과학,컴퓨터공학과,325
